N,P,K,temperature,humidity,ph,rainfall,label
39.19,52.88,30.98,13.88,42.98,8.06,57.13,chickpea
36.32,60.44,32.57,21.98,60.22,6.88,61.68,chickpea
139.61,40.51,48.64,22.23,38.17,7.26,55.88,cotton
67.46,27.58,52.96,21.74,57.8,6.11,235.89,coffee
76.13,52.58,29.52,34.36,79.86,5.99,258.82,jute
110.15,60.66,41.71,23.05,63.83,6.29,64.64,maize
110.33,35.13,185.11,28.58,84.21,6.01,148.74,banana
105.75,42.34,60.1,35.88,69.6,5.48,149.99,rice
54.04,30.03,41.79,24.91,74.69,6.4,205.46,coffee
91.62,49.6,43.35,19.69,56.62,7.42,98.99,wheat
104.85,62.72,61.62,17.83,57.3,6.02,61.12,maize
96.13,54.09,88.49,25.26,81.02,4.92,75.18,potato
98.15,57.89,99.54,24.51,69.44,5.78,90.13,potato
119.54,44.68,48.06,33.35,71.55,7.06,56.38,maize
104.98,43.01,59.72,22.7,82.88,6.35,204.75,rice
101.22,60.59,59.83,30.69,60.41,5.85,90.47,maize
89.99,48.7,87.77,18.43,82.8,5.54,38.3,potato
98.15,39.28,40.26,13.84,62.21,7.2,66.48,wheat
67.94,54.18,99.4,24.42,52.53,5.93,36.32,tomato
89.57,38.23,37.64,23.73,69.97,5.83,95.78,maize
59.08,17.41,60.36,33.67,38.97,7.08,138.92,mango
119.44,28.96,44.63,33.29,68.64,8.31,96.18,cotton
123.27,43.24,73.6,24.24,65.05,6.88,145.1,sugarcane
78.31,68.21,87.64,19.99,73.62,6.65,64.6,potato
90.83,17.39,60.61,28.85,57.06,6.36,188.8,coffee
133.15,44.19,151.97,27.68,73.32,5.31,217.7,banana
57.85,38.65,72.78,23.36,66.83,6.23,48.31,tomato
109.24,73.48,74.84,20.92,58.07,7.02,212.84,sugarcane
97.06,46.28,48.84,35.65,39.47,8.18,56.9,cotton
38.12,34.64,60.04,33.32,53.34,5.6,70.87,mango
92.83,40.43,42.7,15.47,38.07,5.97,85.07,wheat
102.66,66.33,108.41,20.77,73.89,6.33,78.66,potato
96.75,27.02,41.77,24.73,76.77,6.61,257.58,jute
81.0,50.94,50.37,34.47,79.03,6.03,252.21,rice
103.11,32.71,39.42,34.82,55.0,5.31,55.09,cotton
76.88,47.75,40.24,26.44,91.79,7.62,147.43,jute
135.2,48.8,199.15,22.58,86.32,5.54,153.58,banana
79.11,38.87,37.04,14.8,47.18,5.95,47.53,wheat
109.19,38.72,37.03,21.89,90.26,6.54,161.03,rice
125.3,42.78,58.19,18.97,54.37,6.29,76.3,maize
103.36,39.06,102.75,36.54,76.28,6.51,193.32,sugarcane
74.65,57.7,50.53,25.71,69.45,7.01,204.53,rice
73.67,49.14,33.28,19.81,61.09,6.28,87.54,wheat
49.47,30.01,43.19,26.54,47.19,6.49,101.8,mango
137.73,31.0,202.24,32.1,90.05,6.21,127.19,banana
122.64,47.04,35.25,30.8,54.28,6.76,58.35,cotton
41.02,52.8,40.24,14.91,61.59,7.05,55.16,chickpea
63.6,53.63,64.92,23.69,68.71,6.29,53.68,tomato
89.9,47.73,97.65,18.75,47.36,6.28,72.28,tomato
123.9,42.81,150.37,28.43,81.44,7.09,158.6,banana
117.47,44.27,50.5,18.04,70.0,5.66,58.98,maize
56.39,36.16,45.5,8.11,48.42,7.03,82.18,wheat
105.19,39.44,165.39,27.05,81.82,7.21,221.99,banana
20.59,47.85,18.44,29.07,60.67,5.83,62.89,chickpea
62.49,41.65,36.57,19.96,60.72,6.07,101.87,wheat
46.12,29.03,57.29,25.78,42.2,6.43,68.67,mango
76.32,38.56,45.89,22.06,72.61,6.19,191.23,coffee
42.23,60.26,25.22,13.58,37.52,6.23,49.65,chickpea
99.19,18.45,47.18,26.9,67.6,6.74,148.04,coffee
122.45,56.8,60.99,32.58,63.88,7.61,83.5,maize
96.82,40.26,159.42,26.36,78.86,5.9,168.22,banana
121.58,50.27,41.88,29.97,62.08,5.52,96.37,cotton
71.41,44.59,72.03,21.3,50.64,6.25,57.23,tomato
129.89,51.28,161.44,27.16,87.98,6.62,202.69,banana
74.23,40.22,94.83,24.53,56.8,6.84,68.3,tomato
136.55,35.9,185.31,25.86,67.23,5.73,110.51,banana
103.55,43.92,30.01,25.01,49.72,6.05,52.42,wheat
92.15,18.57,48.83,17.74,75.85,6.51,177.5,coffee
96.79,43.38,42.45,26.6,53.05,5.37,110.87,maize
30.44,27.59,44.97,23.66,52.71,6.5,71.27,mango
114.95,58.64,58.35,25.87,75.36,6.74,283.77,rice
99.99,34.63,33.18,26.95,60.28,6.53,68.39,cotton
124.13,62.4,74.41,13.94,79.94,6.03,82.1,potato
124.43,39.62,52.4,20.58,61.12,6.03,73.11,maize
49.83,33.23,40.22,32.35,44.28,6.55,156.84,mango
58.7,40.29,62.5,20.43,47.29,6.87,40.44,tomato
104.53,59.98,79.17,27.07,48.83,6.48,82.06,tomato
76.77,65.81,97.33,15.5,64.67,5.75,53.93,potato
83.54,62.48,48.92,33.04,83.55,6.39,155.8,rice
55.69,51.68,34.96,27.98,69.1,6.56,261.39,jute
35.52,39.28,46.42,24.41,57.92,5.36,103.22,mango
85.65,39.52,45.5,24.16,75.48,6.02,151.38,jute
66.33,38.66,98.47,24.39,51.29,6.19,85.48,tomato
67.16,47.17,47.07,15.13,58.71,6.19,42.78,wheat
52.14,23.4,62.21,33.29,54.52,5.78,113.78,mango
75.51,47.57,53.88,26.35,51.06,6.37,79.82,maize
65.72,59.52,92.91,26.56,48.02,6.83,63.89,tomato
54.17,43.12,71.56,20.58,67.42,5.93,54.23,tomato
125.77,44.67,57.52,26.01,62.91,7.76,102.01,maize
134.83,43.71,69.81,36.65,70.83,5.86,113.55,sugarcane
96.8,50.46,49.81,26.46,42.94,7.59,79.63,wheat
100.63,30.24,41.78,23.16,63.98,8.21,102.29,cotton
94.91,49.84,104.71,21.85,67.5,5.57,69.77,potato
73.15,40.22,32.92,30.09,87.87,6.19,206.95,jute
55.62,37.19,32.2,21.01,41.71,7.09,59.63,wheat
76.45,56.84,105.87,21.33,78.54,5.6,68.14,potato
90.92,60.64,50.77,32.23,82.36,6.55,185.88,rice
118.52,33.36,45.9,34.45,51.1,7.3,78.51,cotton
132.03,47.95,30.26,20.48,72.53,6.63,93.47,cotton
109.58,38.58,40.98,21.93,64.42,6.34,108.27,maize
54.3,36.52,51.9,17.72,81.25,6.69,153.89,coffee
69.22,37.04,31.28,32.17,81.49,7.52,166.31,jute
65.72,22.32,57.89,17.49,69.83,6.08,176.54,coffee
93.69,39.46,41.32,31.85,77.12,5.69,237.22,rice
70.34,46.77,45.05,36.46,76.35,6.31,184.17,jute
126.81,67.14,88.35,21.62,79.91,7.18,119.13,sugarcane
87.34,47.83,116.91,19.57,65.49,4.8,34.8,potato
100.56,57.54,64.28,21.34,67.29,6.43,43.07,tomato
87.35,56.38,38.92,29.84,67.59,6.24,107.35,maize
46.64,39.21,54.27,26.97,51.36,5.42,116.95,mango
42.54,52.77,27.46,22.24,27.08,6.15,53.11,chickpea
81.14,50.83,105.15,22.76,72.52,6.35,70.95,potato
32.91,60.39,17.02,16.92,33.69,6.02,32.31,chickpea
56.29,58.34,88.15,19.75,52.26,6.25,77.08,tomato
109.08,63.41,95.92,27.05,62.5,7.42,132.78,sugarcane
86.64,41.58,59.98,19.33,60.99,6.1,147.51,coffee
149.75,53.12,68.77,30.19,87.28,7.19,149.33,sugarcane
94.41,27.54,55.82,17.69,75.85,6.41,252.05,coffee
121.63,42.99,37.97,28.57,76.64,6.89,285.11,rice
33.27,39.67,36.2,28.04,61.64,7.42,33.73,chickpea
28.83,20.28,56.77,22.7,38.36,7.55,132.39,mango
104.38,69.95,77.13,29.27,67.96,6.34,111.38,sugarcane
77.19,52.51,45.46,28.41,91.97,7.52,231.2,jute
61.65,58.27,67.59,29.44,61.64,6.12,59.79,tomato
66.63,30.66,38.17,34.2,75.59,5.79,220.81,jute
143.58,52.8,145.55,28.49,85.64,5.87,221.07,banana
96.26,32.96,54.52,16.91,78.83,6.03,174.34,coffee
96.84,33.67,52.21,23.05,62.16,7.41,51.74,wheat
59.26,34.1,40.71,24.77,54.66,5.95,81.0,wheat
109.65,38.04,57.67,21.05,64.75,6.87,101.9,maize
93.88,47.97,35.02,25.87,39.45,7.71,92.56,wheat
89.75,28.23,34.45,10.48,48.47,6.58,76.42,wheat
53.55,18.86,45.91,27.95,55.61,5.72,156.12,mango
22.77,42.12,26.72,23.29,56.0,6.65,53.23,chickpea
75.23,67.5,121.29,23.95,78.4,6.71,70.62,potato
103.24,43.12,52.58,29.54,76.76,6.67,140.97,jute
83.38,55.3,83.23,25.52,47.0,5.94,70.32,tomato
88.16,33.28,44.23,28.6,69.26,6.16,263.4,coffee
127.98,44.17,40.73,24.98,41.31,7.02,55.42,cotton
88.65,63.89,78.87,22.24,67.92,5.92,34.18,potato
65.91,61.33,74.22,24.11,54.84,6.61,39.27,tomato
79.87,55.99,92.21,19.76,82.28,5.69,91.94,potato
34.15,59.86,29.41,22.03,43.15,5.89,60.56,chickpea
110.21,48.6,46.91,23.63,83.39,5.98,144.59,rice
123.28,53.21,95.15,23.17,68.52,5.23,56.45,potato
123.47,48.4,44.46,18.27,60.03,5.77,123.97,maize
79.42,47.79,40.22,23.37,61.48,7.62,53.83,maize
54.16,43.13,64.04,21.32,70.1,6.28,77.95,tomato
83.32,45.75,28.53,19.41,58.21,5.91,75.8,wheat
49.69,32.38,58.61,30.82,61.68,6.02,102.55,mango
117.05,43.05,49.59,20.92,43.17,6.85,76.17,cotton
89.36,59.83,75.51,16.61,66.72,5.93,63.1,potato
76.81,60.41,99.18,20.97,65.1,6.57,74.1,tomato
90.61,70.74,101.79,23.78,67.14,6.39,36.17,potato
84.26,40.03,39.28,23.7,56.39,6.44,94.54,wheat
94.04,45.3,56.25,33.76,75.15,6.78,157.08,sugarcane
57.46,43.33,69.64,22.02,59.3,6.18,75.1,tomato
79.42,40.48,38.81,24.88,49.1,7.08,94.08,maize
91.83,39.94,39.96,26.35,82.11,5.93,164.0,coffee
30.44,22.47,52.09,28.66,43.94,7.44,114.95,mango
83.64,31.01,51.47,11.01,53.29,6.41,84.2,wheat
86.31,34.46,57.1,17.37,73.32,6.84,259.3,coffee
113.31,28.36,46.3,21.64,45.52,7.64,87.26,cotton
116.04,37.86,54.44,19.6,59.45,6.97,153.36,sugarcane
45.02,33.77,58.36,28.97,43.16,6.48,88.15,mango
63.8,19.84,42.1,17.52,82.48,6.01,161.11,coffee
116.52,53.23,74.67,21.02,78.97,5.85,46.23,potato
97.86,51.79,40.63,19.98,84.38,6.19,237.72,rice
99.37,39.54,50.98,9.46,39.96,7.59,104.09,wheat
58.67,27.66,32.25,22.5,62.76,7.59,75.27,wheat
105.74,57.56,58.37,21.53,61.27,6.66,87.89,maize
110.31,42.38,44.85,25.44,77.83,5.28,149.35,rice
138.1,32.18,171.41,21.38,85.12,6.09,220.91,banana
109.49,40.88,62.0,21.23,72.19,6.95,305.45,rice
54.45,41.43,78.49,27.56,72.09,6.5,45.03,tomato
61.61,42.99,93.05,19.1,47.92,6.82,79.57,tomato
38.63,50.28,33.3,15.43,26.4,5.83,65.88,chickpea
34.44,26.2,49.68,26.2,51.58,7.48,116.76,mango
81.47,55.02,41.5,27.64,92.79,5.28,130.73,rice
24.92,55.45,39.93,23.97,34.59,7.11,59.15,chickpea
98.82,41.56,72.38,19.59,50.19,6.55,51.99,tomato
81.84,31.39,31.29,33.94,67.4,7.23,230.25,jute
38.98,42.04,21.81,20.49,25.69,7.5,38.22,chickpea
151.77,66.68,60.93,32.31,69.85,5.81,153.69,sugarcane
96.81,51.06,64.05,25.34,49.01,6.11,75.19,tomato
97.13,41.22,79.84,25.17,49.69,6.04,66.97,tomato
118.51,55.44,57.69,23.01,60.75,5.29,80.87,maize
131.15,66.62,94.41,34.69,65.77,6.68,86.21,sugarcane
59.24,44.02,36.64,28.44,75.76,6.68,218.66,jute
24.12,38.18,31.04,27.09,55.5,6.84,33.67,chickpea
103.31,31.28,48.58,26.38,67.75,5.85,190.79,jute
123.36,45.43,51.66,20.58,63.12,6.41,79.91,maize
96.88,51.38,54.01,36.66,92.6,5.84,270.58,rice
63.63,21.55,47.94,26.72,58.52,6.71,200.1,coffee
105.94,35.56,49.35,23.58,78.95,6.46,161.21,jute
28.98,39.07,40.32,26.1,62.83,5.69,73.61,mango
61.96,50.37,27.05,32.95,69.27,6.98,215.72,jute
109.51,29.62,190.34,21.88,82.75,6.44,207.12,banana
83.86,41.27,54.05,16.9,66.9,6.71,168.87,coffee
84.74,45.12,41.63,16.27,51.09,6.93,100.11,maize
63.61,43.9,63.8,25.85,53.5,6.85,77.04,tomato
73.42,26.05,53.73,24.98,59.68,6.32,218.53,coffee
75.06,57.59,48.73,30.27,47.17,5.95,109.6,maize
63.47,28.36,39.76,24.32,75.28,7.41,258.33,jute
78.01,49.13,50.25,33.21,75.31,5.85,255.29,jute
101.43,50.88,77.33,21.52,48.21,6.83,59.8,tomato
122.11,62.48,54.87,23.03,81.52,7.55,141.98,sugarcane
106.55,46.38,50.33,32.12,90.05,7.07,225.71,rice
82.07,56.1,42.02,23.03,85.46,7.19,246.75,rice
102.77,68.37,58.41,36.6,75.38,6.78,195.16,sugarcane
64.24,25.39,60.45,33.88,38.77,6.07,85.11,mango
125.08,52.91,179.33,25.85,91.17,5.71,128.34,banana
75.84,56.1,111.38,15.19,77.46,6.17,32.76,potato
53.63,19.68,50.19,24.78,38.21,5.57,148.51,mango
95.53,51.83,37.02,27.64,65.67,6.67,89.73,maize
66.54,53.43,82.54,16.56,72.85,6.73,59.3,tomato
75.44,71.9,89.08,15.3,57.14,6.45,88.61,potato
110.81,46.16,164.26,29.97,91.77,6.13,117.65,banana
99.84,47.41,41.43,24.49,59.23,6.2,81.64,cotton
104.74,32.69,40.41,26.01,62.41,6.24,45.69,wheat
137.27,65.63,101.8,32.63,70.33,6.31,149.98,sugarcane
86.95,33.96,43.71,35.96,68.54,7.37,163.2,jute
84.0,40.73,58.07,28.73,60.79,6.17,103.14,maize
64.32,45.63,46.76,18.96,59.44,6.34,99.81,wheat
111.29,43.5,59.79,21.53,52.21,5.42,90.9,maize
86.52,29.83,51.97,26.34,67.67,7.44,182.79,jute
110.9,51.98,59.05,26.55,57.65,5.78,206.09,sugarcane
110.7,44.85,60.48,18.63,91.33,6.91,150.41,rice
117.09,40.61,60.66,25.57,62.24,6.53,53.81,maize
21.16,50.73,31.37,23.9,42.17,7.02,32.98,chickpea
112.02,53.3,48.11,25.19,60.24,5.25,90.24,maize
95.62,52.31,38.61,30.86,52.63,7.29,92.68,maize
59.09,34.17,37.77,8.58,48.65,6.29,68.03,wheat
143.44,44.11,176.18,21.05,84.09,6.53,121.23,banana
102.67,25.49,37.52,18.34,57.84,6.3,238.63,coffee
21.2,52.58,41.15,27.12,50.77,7.56,30.86,chickpea
120.65,37.75,43.26,20.54,87.2,5.66,305.07,rice
137.47,55.23,81.64,31.53,72.13,6.95,115.02,sugarcane
20.7,51.33,27.99,29.81,51.01,8.13,31.36,chickpea
64.5,47.82,43.06,24.6,61.67,6.45,48.39,wheat
127.3,38.11,194.3,21.05,83.06,6.66,231.35,banana
101.99,36.46,45.83,30.4,42.83,7.91,55.97,cotton
120.01,62.35,78.27,15.53,59.0,4.99,96.0,potato
124.79,45.28,48.99,26.03,68.34,6.59,196.4,rice
22.06,56.01,26.08,21.29,31.62,8.23,57.79,chickpea
34.97,40.03,52.0,23.02,55.31,6.52,147.07,mango
96.12,52.51,27.79,32.72,92.98,7.33,200.7,jute
65.26,44.91,50.65,13.5,51.79,6.34,78.53,wheat
120.07,42.86,45.58,24.47,59.48,7.79,59.93,maize
53.06,30.73,59.78,25.61,47.44,7.27,76.71,mango
70.68,36.99,42.78,21.5,75.13,6.89,192.1,coffee
67.17,48.88,31.47,24.22,85.96,6.64,238.21,jute
119.94,34.5,31.68,34.89,63.2,6.98,109.66,cotton
76.42,54.78,85.65,29.14,50.61,6.48,37.29,tomato
99.31,49.76,61.38,28.9,79.31,5.8,192.16,rice
75.28,59.99,81.95,14.21,72.56,6.29,34.84,potato
139.58,73.03,64.86,30.41,63.13,5.81,183.61,sugarcane
57.65,41.95,39.15,19.73,48.63,6.55,73.17,wheat
100.65,45.76,54.21,27.38,71.44,7.7,104.09,maize
52.6,26.45,37.41,36.48,50.87,6.22,114.34,mango
32.31,55.05,17.87,13.78,35.69,5.92,49.41,chickpea
101.63,39.73,47.36,35.64,83.4,5.62,193.58,rice
68.25,36.4,50.13,21.03,77.46,6.52,200.94,coffee
40.31,56.98,36.3,24.34,41.7,6.75,61.56,chickpea
54.81,33.33,60.6,29.78,53.47,6.27,95.67,mango
95.51,25.3,46.2,24.68,60.82,6.0,167.47,coffee
65.85,46.74,41.4,8.16,45.23,6.12,85.13,wheat
59.35,24.85,57.97,22.92,61.46,6.21,258.97,coffee
94.42,36.0,36.3,29.06,84.52,6.87,235.9,jute
94.44,49.64,76.92,28.3,62.03,6.4,69.51,tomato
57.64,25.53,45.48,20.44,72.42,6.66,256.91,coffee
137.73,47.87,78.84,33.68,80.47,7.35,213.35,sugarcane
109.1,37.72,46.73,25.15,49.71,8.36,88.61,cotton
112.78,39.2,57.13,26.64,49.88,5.41,109.57,maize
121.65,63.32,75.65,19.63,59.23,5.89,65.58,potato
94.2,31.17,61.4,27.13,66.31,6.36,259.45,coffee
72.48,18.16,52.18,21.44,80.64,6.38,234.51,coffee
74.19,38.63,39.85,17.64,56.14,7.02,112.67,maize
94.41,39.08,56.64,26.21,79.2,5.57,162.78,rice
76.01,42.3,37.37,20.73,77.15,6.25,254.73,coffee
88.9,61.05,37.65,28.58,83.48,5.48,154.87,rice
32.55,41.61,38.16,19.02,43.47,6.71,48.47,chickpea
122.63,34.54,52.26,30.21,61.67,6.6,71.21,cotton
86.56,19.35,46.54,23.61,65.46,6.67,176.33,coffee
97.72,37.31,37.25,12.55,49.78,7.35,100.69,wheat
74.89,33.97,42.76,26.06,45.96,6.86,61.76,wheat
83.86,49.62,93.01,17.76,58.13,6.4,77.21,tomato
116.86,47.12,43.92,31.67,51.21,5.89,87.07,cotton
70.25,33.44,46.85,25.56,66.06,5.88,147.21,coffee
96.4,39.03,48.18,32.18,51.44,7.06,80.86,cotton
105.78,27.49,55.64,25.44,61.53,6.54,190.65,coffee
103.45,41.99,182.85,27.3,90.16,5.46,142.36,banana
81.65,35.18,47.12,22.66,58.95,7.52,70.73,wheat
70.68,43.98,44.49,16.23,42.94,7.18,53.48,wheat
157.12,69.69,101.44,23.3,63.4,6.61,143.93,sugarcane
56.66,47.43,39.93,30.05,79.19,6.29,170.93,jute
79.52,29.28,47.44,28.18,72.41,7.0,191.8,jute
34.85,23.39,41.81,31.38,40.69,6.32,114.77,mango
21.02,38.9,27.17,13.93,40.89,6.06,57.99,chickpea
98.11,19.56,48.46,28.12,68.04,6.47,248.5,coffee
142.27,42.49,37.83,25.52,67.44,7.22,57.52,cotton
124.27,31.53,181.94,22.01,72.14,6.84,135.57,banana
109.55,38.08,148.69,29.69,88.56,5.87,178.64,banana
38.22,60.68,37.46,22.9,46.62,7.38,37.85,chickpea
98.29,31.21,48.17,23.23,79.54,6.77,160.69,jute
119.05,60.98,51.48,19.59,64.82,6.63,124.67,maize
92.95,63.23,117.09,16.48,65.91,6.15,83.07,potato
56.21,32.81,38.83,15.82,41.59,7.38,102.67,wheat
26.69,38.54,41.91,29.86,39.72,8.15,32.38,chickpea
93.09,35.16,34.09,10.3,48.41,6.37,66.5,wheat
34.13,50.69,24.04,22.41,44.72,7.77,68.25,chickpea
97.57,45.83,41.69,28.93,56.29,7.41,69.8,maize
94.87,50.76,37.03,18.85,49.43,6.63,76.67,maize
31.49,38.82,21.44,23.58,37.42,6.26,35.16,chickpea
95.18,29.01,37.59,23.32,90.8,7.22,224.25,jute
90.81,52.37,53.17,28.4,70.54,5.97,102.38,maize
135.83,27.25,193.66,27.33,79.73,6.39,172.13,banana
116.62,34.17,185.36,28.81,80.59,7.16,166.4,banana
80.82,35.91,44.56,30.99,79.98,6.27,203.35,jute
64.66,59.82,69.15,20.2,54.09,6.68,70.72,tomato
120.34,30.86,38.62,28.78,45.93,7.12,57.06,cotton
96.48,49.63,162.36,21.74,80.56,5.52,205.5,banana
123.09,48.1,60.43,17.69,48.12,7.08,110.36,maize
39.02,41.17,37.56,22.42,40.22,6.08,70.14,chickpea
84.1,40.25,56.13,17.75,67.42,5.89,175.03,coffee
87.92,61.22,104.14,22.05,63.04,6.71,34.05,tomato
77.76,25.41,55.89,21.3,61.42,6.21,248.99,coffee
76.05,52.16,105.34,19.68,61.9,6.52,62.55,tomato
92.97,37.5,78.98,28.15,58.27,6.88,67.93,tomato
129.18,55.34,91.8,31.5,83.24,5.9,183.14,sugarcane
91.03,46.87,54.83,23.54,91.67,7.06,221.28,rice
88.27,18.19,50.81,26.14,57.89,6.23,249.13,coffee
90.66,34.53,48.72,36.14,74.66,7.31,240.75,jute
60.81,28.34,51.58,12.93,50.11,5.95,70.04,wheat
88.55,37.87,95.3,23.11,48.96,6.59,59.97,tomato
104.65,59.49,45.27,24.7,71.73,7.28,120.19,maize
114.94,40.38,150.06,32.6,69.85,5.68,143.8,banana
121.91,48.61,171.52,26.22,71.09,5.52,184.49,banana
111.67,49.53,121.49,21.11,69.83,5.72,44.29,potato
54.26,35.21,57.65,27.0,48.34,5.64,157.79,mango
80.91,26.79,40.2,17.88,60.98,6.09,232.99,coffee
119.74,64.95,82.94,19.39,75.77,6.6,73.73,potato
107.72,57.35,52.98,24.92,63.05,5.59,67.81,maize
133.26,44.35,76.9,34.04,75.93,5.91,142.58,sugarcane
82.38,43.96,55.73,17.17,65.07,6.89,57.64,tomato
91.65,48.77,29.1,24.95,57.74,7.47,87.9,wheat
94.28,40.29,144.85,29.31,91.33,7.04,131.74,banana
115.38,48.47,42.49,19.34,69.27,6.53,58.03,maize
110.1,52.11,42.19,33.43,85.6,6.72,153.06,rice
22.53,48.65,22.27,13.42,63.76,6.37,51.74,chickpea
94.07,38.21,153.55,31.14,73.79,7.12,231.34,banana
99.14,29.68,39.49,26.95,40.87,5.14,65.04,cotton
99.09,52.32,82.74,19.59,64.63,6.27,36.24,tomato
81.27,30.48,49.92,33.14,90.96,7.18,166.82,jute
41.63,47.74,23.37,21.28,40.59,7.6,68.53,chickpea
100.1,48.67,73.23,19.79,50.47,6.26,79.34,tomato
56.81,52.72,47.3,29.22,81.96,6.87,168.07,jute
90.31,41.0,49.73,17.79,76.92,5.89,234.4,coffee
57.68,60.34,92.01,26.38,69.74,6.7,56.46,tomato
78.05,42.47,73.94,28.7,56.45,6.67,82.0,tomato
33.07,48.42,26.65,28.36,57.53,7.81,52.79,chickpea
71.15,51.23,44.73,26.75,47.84,6.82,74.16,wheat
100.82,50.6,61.04,27.19,55.09,6.24,61.41,maize
75.68,58.67,109.58,24.06,64.78,6.67,87.4,potato
87.52,52.04,52.86,33.81,92.98,7.0,199.62,jute
120.09,40.1,50.97,28.13,52.6,6.01,95.32,cotton
120.71,72.42,81.78,20.82,70.87,6.17,199.14,sugarcane
117.1,69.24,59.71,29.4,62.24,7.43,160.28,sugarcane
65.53,46.08,48.51,19.32,52.38,6.44,71.51,wheat
111.09,57.12,59.5,32.17,87.82,5.37,173.23,rice
129.39,41.7,199.69,23.63,71.17,6.47,219.72,banana
65.04,18.19,58.8,27.09,61.23,6.55,230.91,coffee
83.08,41.08,60.09,27.54,62.97,6.43,230.71,coffee
101.37,71.32,56.62,18.0,62.2,7.36,153.05,sugarcane
79.04,50.96,39.83,16.88,62.02,6.65,54.26,wheat
130.47,40.12,181.47,24.87,85.47,6.8,206.17,banana
103.58,29.8,38.38,29.18,40.91,6.08,72.39,cotton
99.02,65.27,57.35,19.09,85.14,7.34,199.6,sugarcane
47.37,21.57,39.72,25.53,46.07,5.24,131.26,mango
81.45,61.8,40.77,25.4,52.12,5.4,66.78,maize
98.45,35.28,27.88,31.04,72.87,7.3,223.38,jute
135.13,50.24,205.31,32.08,83.12,5.68,227.65,banana
96.45,52.16,202.78,22.04,80.77,7.21,215.84,banana
59.4,40.82,44.0,29.44,77.15,7.62,226.11,jute
85.71,36.25,43.18,28.21,87.69,7.64,170.14,jute
95.29,30.52,39.25,19.98,65.43,6.21,249.1,coffee
92.85,30.4,47.98,26.02,52.77,7.16,88.88,wheat
104.22,70.91,114.91,23.43,81.13,6.02,97.17,potato
100.19,51.94,28.13,35.94,74.27,7.07,157.73,jute
89.75,55.31,83.1,15.86,80.44,6.3,54.89,potato
98.86,48.39,44.81,27.79,71.33,7.01,199.61,jute
28.68,51.84,37.75,28.8,41.78,7.57,33.7,chickpea
84.56,45.67,38.51,10.8,39.71,7.72,72.1,wheat
93.95,47.24,206.44,29.07,82.34,7.05,138.14,banana
108.94,55.48,62.6,28.24,48.04,7.45,79.44,maize
97.2,38.67,32.26,31.63,49.41,6.59,59.88,cotton
120.29,49.22,49.38,35.99,68.55,5.69,241.73,rice
98.43,60.78,101.07,14.35,58.34,5.95,73.05,potato
42.31,54.36,32.79,17.06,27.95,7.92,50.87,chickpea
104.91,40.8,58.44,23.8,70.74,7.07,159.78,rice
112.02,57.36,51.82,19.79,90.5,6.96,283.13,rice
135.97,68.19,83.43,30.23,62.01,5.85,187.92,sugarcane
89.06,40.65,43.97,25.67,39.61,6.39,47.21,wheat
41.4,59.54,22.57,24.87,47.65,7.78,46.39,chickpea
102.95,31.92,37.15,32.17,68.17,7.17,135.63,jute
104.74,54.7,47.23,23.95,80.12,6.98,293.47,rice
82.54,40.45,61.81,21.08,56.24,6.04,121.06,maize
80.04,29.61,40.91,32.01,75.32,5.79,215.81,jute
40.6,20.01,59.51,31.06,40.8,6.3,104.38,mango
93.73,39.9,50.9,8.39,38.74,6.56,47.72,wheat
48.58,28.41,56.69,32.93,40.57,7.26,71.41,mango
109.89,41.25,54.38,25.1,83.09,5.35,217.54,rice
54.67,52.99,35.63,29.22,87.4,7.16,250.51,jute
66.23,28.38,43.02,26.61,85.08,7.14,194.21,jute
109.41,34.85,28.06,24.63,69.74,8.09,59.63,cotton
104.24,40.57,50.65,23.23,38.53,6.61,87.89,wheat
144.74,52.59,161.8,24.73,74.25,5.58,207.37,banana
105.49,40.7,43.61,24.52,61.26,6.17,76.86,wheat
105.3,62.96,91.43,24.45,67.2,6.81,61.0,tomato
66.99,35.5,46.86,23.75,66.63,6.42,229.87,coffee
97.33,58.53,59.09,21.23,71.79,6.23,113.41,maize
93.3,62.75,115.84,16.46,63.52,5.96,93.59,potato
115.98,51.57,122.52,24.0,66.38,5.37,41.44,potato
88.17,23.56,56.95,25.13,60.4,6.09,174.13,coffee
97.35,32.28,201.62,27.94,78.9,6.73,222.33,banana
110.38,64.82,84.05,33.47,73.89,7.44,188.49,sugarcane
125.55,29.94,181.38,29.86,82.89,6.73,120.46,banana
37.0,50.97,23.62,18.48,45.6,7.11,25.37,chickpea
139.1,44.24,144.81,23.95,72.38,6.0,228.9,banana
117.36,59.9,84.72,20.5,68.82,6.28,68.61,potato
124.85,54.27,89.97,15.14,76.63,6.58,83.83,potato
145.55,36.95,67.74,18.86,77.94,6.49,169.77,sugarcane
85.15,56.76,85.25,24.21,63.16,5.01,34.79,potato
81.68,51.73,35.38,31.43,67.0,7.21,200.33,jute
39.95,58.0,22.19,21.93,56.55,7.45,30.01,chickpea
102.0,41.79,49.88,18.67,51.2,6.79,71.58,maize
27.79,54.51,24.22,13.09,38.94,7.53,42.64,chickpea
65.72,32.18,56.91,27.84,80.83,5.97,229.39,coffee
66.44,33.15,54.55,20.07,68.75,6.33,235.56,coffee
24.45,42.59,35.28,22.29,58.25,7.21,46.75,chickpea
